bank,year,total_sentences,implemented,planning,indeterminate,with_evidence,without_evidence,symbolic_ratio,evidence_ratio,substantive_ratio,ewri,risk_level
bsc,2020,219,6,0,213,5,214,0.973,0.023,0.027,61.76,High
bsc,2024,695,128,5,562,180,515,0.809,0.259,0.184,54.27,High
bsc,2023,702,123,8,571,160,542,0.813,0.228,0.175,54.12,High
bsc,2022,574,118,10,446,159,415,0.777,0.277,0.206,53.38,High
bsc,2021,566,136,7,423,155,411,0.747,0.274,0.24,51.81,High
vietcombank,2024,320,74,16,230,85,235,0.719,0.266,0.231,50.78,High
techcombank,2020,841,231,37,573,261,580,0.681,0.31,0.275,48.96,Medium
techcombank,2023,1511,419,71,1021,471,1040,0.676,0.312,0.277,48.96,Medium
vietcombank,2021,224,67,6,151,43,181,0.674,0.192,0.299,48.94,Medium
shb,2022,953,286,16,651,294,659,0.683,0.308,0.3,48.47,Medium
vietcombank,2020,271,80,13,178,59,212,0.657,0.218,0.295,48.38,Medium
shb,2023,1051,314,33,704,358,693,0.67,0.341,0.299,47.98,Medium
shb,2024,1333,399,45,889,484,849,0.667,0.363,0.299,47.86,Medium
vpbank,2022,1228,368,41,819,381,847,0.667,0.31,0.3,47.56,Medium
vpbank,2023,1701,522,50,1129,573,1128,0.664,0.337,0.307,47.45,Medium
techcombank,2024,2240,693,117,1430,860,1380,0.638,0.384,0.309,47.05,Medium
viettinbank,2023,2029,627,54,1348,629,1400,0.664,0.31,0.309,46.89,Medium
techcombank,2021,1064,339,73,652,332,732,0.613,0.312,0.319,46.36,Medium
techcombank,2022,1385,453,94,838,420,965,0.605,0.303,0.327,46.0,Medium
ocb,2020,160,58,4,98,59,101,0.612,0.369,0.362,45.67,Medium
mbbank,2022,1130,392,45,693,438,692,0.613,0.388,0.347,45.42,Medium
mbbank,2024,1558,545,58,955,647,911,0.613,0.415,0.35,45.21,Medium
shb,2021,806,297,14,495,270,536,0.614,0.335,0.368,45.06,Medium
bidv,2023,961,338,30,593,377,584,0.617,0.392,0.352,45.0,Medium
vpbank,2024,1645,537,137,971,622,1023,0.59,0.378,0.326,45.0,Medium
viettinbank,2020,855,310,16,529,272,583,0.619,0.318,0.363,44.96,Medium
bidv,2022,1247,441,58,748,499,748,0.6,0.4,0.354,44.73,Medium
vietcombank,2022,1012,370,3,639,318,694,0.631,0.314,0.366,44.62,Medium
viettinbank,2024,2152,764,100,1288,725,1427,0.599,0.337,0.355,44.19,Medium
shb,2020,825,309,31,485,292,533,0.588,0.354,0.375,44.19,Medium
mbbank,2020,520,189,27,304,193,327,0.585,0.371,0.363,44.12,Medium
bidv,2024,1078,403,38,637,425,653,0.591,0.394,0.374,43.93,Medium
vpbank,2021,946,366,33,547,335,611,0.578,0.354,0.387,43.91,Medium
mbbank,2023,1139,424,50,665,465,674,0.584,0.408,0.372,43.88,Medium
ocb,2024,801,317,24,460,289,512,0.574,0.361,0.396,43.49,Medium
mbbank,2021,737,302,23,412,308,429,0.559,0.418,0.41,42.48,Medium
viettinbank,2021,858,356,16,486,305,553,0.566,0.355,0.415,42.4,Medium
viettinbank,2022,724,299,28,397,308,416,0.548,0.425,0.413,42.05,Medium
vietcombank,2023,801,339,10,452,305,496,0.564,0.381,0.423,42.0,Medium
vpbank,2020,777,333,23,421,292,485,0.542,0.376,0.429,41.88,Medium
ocb,2023,497,212,22,263,158,339,0.529,0.318,0.427,41.65,Medium
agribank,2024,640,283,15,342,283,357,0.534,0.442,0.442,41.29,Medium
agribank,2021,216,103,3,110,75,141,0.509,0.347,0.477,40.05,Medium
agribank,2022,419,204,6,209,181,238,0.499,0.432,0.487,39.31,Medium
ocb,2022,369,176,12,181,146,223,0.491,0.396,0.477,39.3,Medium
ocb,2021,451,218,3,230,170,281,0.51,0.377,0.483,39.27,Medium
agribank,2023,552,276,11,265,222,330,0.48,0.402,0.5,38.47,Medium
bidv,2021,1061,527,29,505,438,623,0.476,0.413,0.497,38.22,Medium
bidv,2020,816,436,18,362,348,468,0.444,0.426,0.534,36.56,Medium
agribank,2020,264,148,3,113,105,159,0.428,0.398,0.561,35.69,Medium
