bank,year,total_sentences,implemented,planning,indeterminate,with_evidence,without_evidence,implemented_ratio,planning_ratio,indeterminate_ratio,evidence_ratio,avg_evidence_strength,ewri,ewri_old,risk_level,contrib_implemented,contrib_planning,contrib_indeterminate,topic_entropy,topic_coverage_index
bsc,2020,242,41,4,197,3,239,0.169,0.017,0.814,0.012,0.162,45.75,62.08,Very High,1.27,0.42,44.06,0.695,0.305
vietcombank,2020,147,29,9,109,23,124,0.197,0.061,0.741,0.156,0.128,41.73,60.42,High,1.5,1.46,38.77,0.732,0.268
bsc,2024,408,80,7,321,82,326,0.196,0.017,0.787,0.201,0.177,41.57,60.34,High,1.37,0.46,39.74,0.689,0.311
bsc,2023,404,87,1,316,90,314,0.215,0.002,0.782,0.223,0.162,41.43,60.11,High,1.48,0.07,39.88,0.778,0.222
vietcombank,2021,124,28,2,94,20,104,0.226,0.016,0.758,0.161,0.133,41.21,59.99,High,1.64,0.46,39.12,0.762,0.238
bsc,2021,336,82,6,248,82,254,0.244,0.018,0.738,0.244,0.154,40.38,58.51,High,1.58,0.48,38.32,0.715,0.285
vietcombank,2024,175,51,2,122,36,139,0.291,0.011,0.697,0.206,0.155,38.43,56.26,High,1.96,0.34,36.13,0.849,0.151
bsc,2022,376,101,7,268,90,286,0.269,0.019,0.713,0.239,0.166,38.36,56.95,High,1.88,0.56,35.92,0.701,0.299
ocb,2020,140,41,1,98,36,104,0.293,0.007,0.7,0.257,0.175,37.76,55.81,Medium,1.99,0.17,35.6,0.725,0.275
viettinbank,2020,672,186,6,480,136,536,0.277,0.009,0.714,0.202,0.195,37.63,56.07,Medium,1.94,0.25,35.44,0.712,0.288
vpbank,2022,830,237,15,578,199,631,0.286,0.018,0.696,0.24,0.185,37.54,55.64,Medium,1.99,0.5,35.05,0.842,0.158
techcombank,2020,447,127,15,305,126,321,0.284,0.034,0.682,0.282,0.164,37.39,55.85,Medium,2.01,0.95,34.44,0.769,0.231
techcombank,2023,914,266,31,617,214,700,0.291,0.034,0.675,0.234,0.159,37.37,55.63,Medium,2.0,0.94,34.43,0.827,0.173
shb,2024,1090,315,36,739,248,842,0.289,0.033,0.678,0.228,0.163,37.33,55.66,Medium,2.05,0.89,34.38,0.778,0.222
techcombank,2021,627,188,21,418,159,468,0.3,0.033,0.667,0.254,0.152,37.17,55.37,Medium,2.05,0.93,34.19,0.846,0.154
techcombank,2022,834,243,37,554,180,654,0.291,0.044,0.664,0.216,0.162,37.11,55.27,Medium,2.01,1.19,33.92,0.823,0.177
vietcombank,2022,583,179,5,399,155,428,0.307,0.009,0.684,0.266,0.17,37.06,55.19,Medium,2.14,0.24,34.68,0.866,0.134
techcombank,2024,1481,444,63,974,360,1121,0.3,0.043,0.658,0.243,0.157,36.85,55.01,Medium,2.1,1.15,33.59,0.902,0.098
ocb,2024,589,183,12,394,142,447,0.311,0.02,0.669,0.241,0.162,36.84,54.91,Medium,2.15,0.53,34.16,0.969,0.031
bidv,2024,985,301,34,650,228,757,0.306,0.035,0.66,0.231,0.165,36.79,54.73,Medium,2.15,0.88,33.76,0.616,0.384
mbbank,2022,772,229,31,512,219,553,0.297,0.04,0.663,0.284,0.174,36.74,54.8,Medium,2.04,1.03,33.67,0.866,0.134
bidv,2023,927,296,23,608,211,716,0.319,0.025,0.656,0.228,0.166,36.54,54.27,Medium,2.23,0.64,33.67,0.566,0.434
agribank,2024,473,143,22,308,131,342,0.302,0.047,0.651,0.277,0.169,36.49,54.48,Medium,2.05,1.22,33.22,0.948,0.052
viettinbank,2023,1665,521,28,1116,312,1353,0.313,0.017,0.67,0.187,0.177,36.41,54.5,Medium,2.21,0.47,33.73,0.698,0.302
bidv,2022,1105,357,41,707,254,851,0.323,0.037,0.64,0.23,0.157,36.2,54.0,Medium,2.27,0.97,32.95,0.733,0.267
shb,2023,862,272,27,563,191,671,0.316,0.031,0.653,0.222,0.166,36.19,54.29,Medium,2.24,0.8,33.15,0.747,0.253
shb,2022,804,274,11,519,155,649,0.341,0.014,0.646,0.193,0.149,35.99,53.88,Medium,2.41,0.4,33.17,0.675,0.325
mbbank,2024,1074,341,40,693,334,740,0.318,0.037,0.645,0.311,0.174,35.91,53.85,Medium,2.18,1.0,32.74,0.834,0.166
shb,2020,569,191,15,363,148,421,0.336,0.026,0.638,0.26,0.161,35.67,53.54,Medium,2.32,0.76,32.6,0.849,0.151
vpbank,2020,535,190,15,330,156,379,0.355,0.028,0.617,0.292,0.133,35.29,53.21,Medium,2.55,0.79,31.96,0.847,0.153
vietcombank,2023,521,181,6,334,164,357,0.347,0.012,0.641,0.315,0.167,35.17,53.17,Medium,2.45,0.33,32.39,0.842,0.158
viettinbank,2024,1740,579,59,1102,377,1363,0.333,0.034,0.633,0.217,0.176,35.11,53.11,Medium,2.36,0.91,31.84,0.677,0.323
shb,2021,573,205,9,359,141,432,0.358,0.016,0.627,0.246,0.157,34.99,52.79,Medium,2.52,0.45,32.02,0.891,0.109
mbbank,2020,319,110,7,202,100,219,0.345,0.022,0.633,0.313,0.176,34.85,52.82,Medium,2.43,0.59,31.83,0.749,0.251
vpbank,2023,1250,445,28,777,261,989,0.356,0.022,0.622,0.209,0.164,34.83,52.54,Medium,2.5,0.64,31.69,0.704,0.296
ocb,2023,344,121,8,215,80,264,0.352,0.023,0.625,0.233,0.167,34.51,52.65,Medium,2.46,0.59,31.45,0.803,0.197
agribank,2023,423,148,15,260,123,300,0.35,0.035,0.615,0.291,0.166,34.48,52.47,Medium,2.46,0.93,31.08,0.954,0.046
viettinbank,2021,569,212,10,347,164,405,0.373,0.018,0.61,0.288,0.156,34.48,52.04,Medium,2.63,0.44,31.41,0.813,0.187
mbbank,2023,842,294,27,521,222,620,0.349,0.032,0.619,0.264,0.181,34.37,52.2,Medium,2.4,0.87,31.1,0.905,0.095
agribank,2022,295,106,7,182,98,197,0.359,0.024,0.617,0.332,0.176,34.04,52.04,Medium,2.57,0.57,30.9,0.947,0.053
ocb,2021,354,132,3,219,97,257,0.373,0.008,0.619,0.274,0.176,33.94,51.75,Medium,2.6,0.24,31.1,0.807,0.193
vpbank,2021,679,256,19,404,182,497,0.377,0.028,0.595,0.268,0.153,33.9,51.62,Medium,2.69,0.78,30.43,0.86,0.14
agribank,2021,168,67,0,101,54,114,0.399,0.0,0.601,0.321,0.14,33.83,51.56,Medium,2.78,0.0,31.05,0.918,0.082
vpbank,2024,1219,451,56,712,304,915,0.37,0.046,0.584,0.249,0.167,33.71,51.18,Medium,2.56,1.28,29.87,0.688,0.312
ocb,2022,289,113,3,173,83,206,0.391,0.01,0.599,0.287,0.16,33.63,51.18,Medium,2.68,0.28,30.66,0.738,0.262
mbbank,2021,478,179,17,282,164,314,0.374,0.036,0.59,0.343,0.171,33.47,51.11,Medium,2.64,0.9,29.93,0.805,0.195
bidv,2021,735,275,29,431,214,521,0.374,0.039,0.586,0.291,0.166,33.29,51.15,Medium,2.63,1.08,29.58,0.912,0.088
viettinbank,2022,509,199,14,296,166,343,0.391,0.028,0.582,0.326,0.174,33.09,50.41,Medium,2.68,0.72,29.68,0.866,0.134
bidv,2020,578,226,23,329,172,406,0.391,0.04,0.569,0.298,0.164,33.02,50.35,Medium,2.64,1.1,29.28,0.895,0.105
agribank,2020,185,80,5,100,53,132,0.432,0.027,0.541,0.286,0.145,31.68,49.07,Medium,3.02,0.73,27.93,0.903,0.097
